Avail,Player,AVG,HR,R,RBI,SB,Rank,CBS Salary,Contract Status,Dollars
WAR Time Consigliere,Aaron Judge,0.338,52,127,122,11,1,48.0,C,37.72
Free Agent,Shohei Ohtani,0.306,48,132,105,29,2,0.0,FA,41.65
WAR Time Consigliere,Bobby Witt,0.319,27,100,89,34,4,20.0,Y,34.89
World Class Wrecking Crew,Juan Soto,0.287,38,117,100,24,5,50.0,C,34.5
The Ale n' Quail Club,Jose Ramirez,0.296,31,97,85,36,6,47.0,C,29.15
Sandlot Crybabies,Ronald Acuna Jr.,0.284,28,104,62,20,7,42.0,B,29.14
Kirb Your Enthusiasm,Elly De La Cruz,0.277,24,95,80,42,8,15.0,Y,25.69
Free Agent,Kyle Tucker,0.285,29,108,85,25,9,0.0,FA,27.2
Million Dollar Stiffs,Julio Rodriguez,0.287,27,94,93,26,11,30.0,W,29.91
Free Agent,Fernando Tatis Jr.,0.29,30,112,78,27,14,0.0,FA,27.46
WAR Time Consigliere,Gunnar Henderson,0.285,24,93,74,25,15,20.0,Z,26.08
World Class Wrecking Crew,Cal Raleigh,0.251,44,94,107,10,16,15.0,B,26.42
Re-Enter Sandman,Corbin Carroll,0.271,30,102,82,28,17,25.0,X,25.14
Savannah Bazzanas,Jazz Chisholm,0.257,32,82,83,35,18,34.0,C,19.51
Tungsten Arm O'Doyle,Junior Caminero,0.276,39,89,106,7,19,15.0,X,25.53
Sandlot Crybabies,Jackson Chourio,0.278,27,95,89,21,20,15.0,X,23.81
Savannah Bazzanas,Nick Kurtz,0.298,41,106,105,4,21,5.0,B,23.84
Wheels Up,Kyle Schwarber,0.249,45,100,111,7,22,22.0,B,22.68
The Ale n' Quail Club,Trea Turner,0.308,20,103,78,33,23,39.0,B,23.55
Free Agent,Vladimir Guerrero Jr.,0.309,30,99,94,4,24,0.0,FA,27.11
Free Agent,Francisco Lindor,0.28,30,110,86,27,25,0.0,FA,21.7
Re-Enter Sandman,Ketel Marte,0.294,35,100,92,5,26,20.0,C,21.01
Ron Washington Monument,Pete Crow-Armstrong,0.256,25,80,84,32,27,20.0,W,21.18
Free Agent,Yordan Alvarez,0.31,32,74,88,6,28,0.0,FA,21.22
Ron Washington Monument,Pete Alonso,0.264,33,77,98,2,29,32.0,B,21.4
Free Agent,Rafael Devers,0.28,33,93,101,2,30,0.0,FA,17.86
Hungarian Hurricanes,James Wood,0.265,26,82,86,14,31,20.0,W,19.17
Field of Seams,Manny Machado,0.288,29,87,102,12,32,35.0,B,18.93
Field of Seams,Zachary Neto,0.268,26,91,73,27,33,11.0,X,20.9956676971138
Free Agent,Matt Olson,0.276,25,83,87,1,34,0.0,FA,17.13
Free Agent,Bryce Harper,0.264,29,80,85,10,36,0.0,FA,20.01
Free Agent,Freddie Freeman,0.297,24,81,89,6,40,0.0,FA,19.59
Chicks Dig the Long Ball,Brice Turang,0.278,18,86,75,20,41,6.0,Z,16.41
Arm & Cammer,Mookie Betts,0.278,19,94,82,9,43,45.0,B,18.65
Arm & Cammer,Wyatt Langford,0.266,25,81,74,23,45,15.0,X,19.16
Savannah Bazzanas,William Contreras,0.263,17,75,69,5,48,26.0,B,20.11
Ron Washington Monument,Brent Rooker,0.292,34,89,98,7,50,20.0,X,23.04
Free Agent,C.J. Abrams,0.272,19,83,61,29,51,0.0,FA,16.1293044349591
Free Agent,Cody Bellinger,0.282,28,87,96,11,52,0.0,FA,16.16
Ron Washington Monument,Geraldo Perdomo,0.294,18,87,83,23,53,10.0,B,15.77
Field of Seams,Hunter Goodman,0.295,30,72,99,2,54,3.0,B,19.7
Free Agent,Josh Naylor,0.295,20,71,84,19,55,0.0,FA,17.93
Wheels Up,Roman Anthony,0.285,18,91,74,13,56,5.0,B,15.88
Field of Seams,Ben Rice,0.267,29,81,81,4,57,10.0,B,18.61
Million Dollar Stiffs,Jackson Merrill,0.298,27,87,101,8,59,15.0,X,17.61
Free Agent,Austin Riley,0.273,24,84,83,2,60,0.0,FA,17.12
Tungsten Arm O'Doyle,Shea Langeliers,0.271,28,69,69,6,61,3.0,C,19.96
Savannah Bazzanas,Byron Buxton,0.285,44,107,97,23,65,11.0,C,16.8
WAR Time Consigliere,George Springer,0.284,35,108,87,16,66,7.0,B,17.31
Free Agent,Christian Yelich,0.264,31,83,97,14,67,0.0,FA,14.26
Free Agent,Corey Seager,0.281,34,86,80,3,68,0.0,FA,15.27
Hot Balls,Riley Greene,0.272,31,81,96,3,69,15.0,Standard,18.31
Field of Seams,Maikel Garcia,0.289,17,75,69,22,70,12.0,X,16.77
World Class Wrecking Crew,Eugenio Suarez,0.241,34,73,96,3,71,4.0,C,15.29
World Class Wrecking Crew,Vinnie Pasquantino,0.267,29,66,100,1,72,20.0,C,16.06
Free Agent,Trevor Story,0.275,20,74,78,27,82,0.0,FA,14.34
World Class Wrecking Crew,Jarren Duran,0.28,16,83,71,24,83,15.0,Z,17.2
Hungarian Hurricanes,Randy Arozarena,0.244,21,86,66,27,84,17.0,B,16.17
Ron Washington Monument,Bo Bichette,0.294,19,78,89,6,85,39.0,B,16.46
Savannah Bazzanas,Agustin Ramirez,0.241,21,66,65,13,86,10.0,B,14.27
Wheels Up,Jeremy Pena,0.314,21,85,76,23,89,20.0,B,15.65
Kirb Your Enthusiasm,Tyler Soderstrom,0.283,28,75,88,7,90,6.0,B,13.96
Savannah Bazzanas,Michael Busch,0.277,31,74,81,4,91,5.0,B,14.73
World Class Wrecking Crew,Nico Hoerner,0.3,7,82,54,27,92,14.0,B,13.56
Free Agent,Seiya Suzuki,0.266,26,65,81,8,93,0.0,FA,14.94
Chicks Dig the Long Ball,Michael Harris,0.264,20,57,75,17,94,20.0,Z,15.72
Free Agent,Salvador Perez,0.26,26,44,79,0,95,0.0,FA,17.78
Hungarian Hurricanes,Drake Baldwin,0.263,18,55,69,1,96,5.0,B,16.0
Free Agent,Willy Adames,0.258,30,87,90,14,98,0.0,FA,14.32
Free Agent,Jose Altuve,0.293,24,82,73,14,99,0.0,FA,13.96
Arm & Cammer,Jo Adell,0.241,31,65,94,9,100,1.0,B,13.5
Kirb Your Enthusiasm,Luke Keaschall,0.28,14,65,66,22,101,10.0,B,11.28
Ron Washington Monument,Will Smith,0.29,19,78,78,2,102,14.0,B,16.01
Chicks Dig the Long Ball,Brandon Nimmo,0.251,20,72,77,11,103,13.0,B,13.34
Free Agent,Oneil Cruz,0.258,30,78,79,36,107,0.0,FA,14.21
Free Agent,Alex Bregman,0.275,28,82,81,2,108,0.0,FA,13.38
Free Agent,Teoscar Hernandez,0.275,25,67,92,7,109,0.0,FA,15.52
Free Agent,Yandy Diaz,0.313,21,73,85,2,117,0.0,FA,15.26
WAR Time Consigliere,Jakob Marsee,0.278,15,68,69,22,118,10.0,B,10.9
Ron Washington Monument,Ozzie Albies,0.251,15,66,68,13,120,27.0,B,9.72
Re-Enter Sandman,Luis Robert,0.262,26,90,87,44,124,15.0,Z,12.09
Field of Seams,Brandon Lowe,0.264,30,79,83,5,125,5.0,C,8.7
Sandlot Crybabies,Dansby Swanson,0.254,20,77,68,18,126,16.0,C,13.94
Free Agent,Yainer Diaz,0.292,16,50,63,1,129,0.0,FA,14.93
Hungarian Hurricanes,Lawrence Butler,0.261,26,90,75,23,131,20.0,X,11.64
Hot Balls,Taylor Ward,0.258,27,72,84,4,132,10.0,Standard,14.81
