Avail,Player,ERA,K,QS,SHD,WHIP,Rank,CBS Salary,Contract Status,Dollars
Savannah Bazzanas,Bryan Woo,3.02,171,20,0,0.98,42,16.0,Y,39.48
Savannah Bazzanas,Hunter Brown,3.15,170,20,0,1.19,44,19.0,Y,24.68
Savannah Bazzanas,Merrill Kelly,3.74,135,16,0,1.19,207,4.0,B,1.87
Hungarian Hurricanes,David Bednar,3.06,65,0,43,1.08,88,4.0,B,15.85
Hungarian Hurricanes,Devin Williams,4.29,90,0,36,1.11,106,14.0,Z,17.3
Hungarian Hurricanes,Grayson Rodriguez,4.19,154,15,0,1.38,270,20.0,Y,0.65
Hungarian Hurricanes,Kris Bubic,3.23,154,16,0,1.28,145,5.0,B,6.18
Hungarian Hurricanes,Shane McClanahan,4.06,148,11,0,1.3,212,9.0,C,10.18
Hungarian Hurricanes,Luke Weaver,3.89,99,0,35,1.07,499,1.0,B,5.86
Hungarian Hurricanes,Bubba Chandler,4.3,132,10,0,1.28,137,5.0,B,-4.34
Million Dollar Stiffs,Edwin Diaz,2.12,97,0,43,0.88,62,14.0,Y,22.9
Million Dollar Stiffs,Brandon Pfaadt,4.75,49,5,1,1.27,758,5.0,C,-8.91
Million Dollar Stiffs,Kenley Jansen,2.73,62,0,31,0.91,159,7.0,B,4.54
Million Dollar Stiffs,Tarik Skubal,2.83,228,24,0,1.07,10,25.0,X,66.27
Tungsten Arm O'Doyle,Jackson Jobe,3.86,5,0,0,1.29,897,5.0,B,0.0
Tungsten Arm O'Doyle,Andrew Painter,4.08,49,4,1,1.26,276,5.0,B,-16.32
Tungsten Arm O'Doyle,Nick Lodolo,3.52,155,14,0,1.13,122,8.0,Y,8.43
WAR Time Consigliere,Gerrit Cole,3.4,97,9,0,1.24,200,7.0,B,5.34
WAR Time Consigliere,Abner Uribe,2.09,75,0,46,1.04,227,10.0,B,14.36
WAR Time Consigliere,Bryan Abreu,2.44,117,0,43,1.12,268,6.0,B,17.31
WAR Time Consigliere,George Kirby,3.72,163,16,0,1.1,63,15.0,Z,24.47
WAR Time Consigliere,Ryan Pepiot,3.67,150,12,0,1.14,143,11.0,B,7.57
WAR Time Consigliere,Eury Perez,3.37,140,6,0,1.03,97,1.0,B,11.35
WAR Time Consigliere,Jacob deGrom,3.06,164,13,0,1.0,46,9.0,C,31.8
Re-Enter Sandman,Robbie Ray,3.75,159,14,0,1.29,148,13.0,Z,-3.09
Re-Enter Sandman,Carlos Estevez,2.32,48,0,35,0.92,176,6.0,C,2.71
Re-Enter Sandman,Aroldis Chapman,1.93,80,0,39,0.91,87,10.0,B,16.15
Re-Enter Sandman,Brandon Woodruff,3.7,178,14,0,1.11,119,6.0,Y,17.06
World Class Wrecking Crew,Spencer Strider,3.59,141,12,0,1.24,178,20.0,Z,8.26
World Class Wrecking Crew,Shota Imanaga,3.64,150,17,0,1.12,156,8.0,C,12.77
World Class Wrecking Crew,Pete Fairbanks,3.0,61,0,35,1.08,160,8.0,B,9.44
World Class Wrecking Crew,Cristopher Sanchez,2.91,165,19,0,1.19,39,10.0,Y,34.02
World Class Wrecking Crew,Joe Ryan,3.27,170,15,0,1.05,73,20.0,C,22.92
Field of Seams,Emmet Sheehan,3.6,160,9,0,1.11,127,10.0,B,10.94
Field of Seams,Kyle Bradish,3.68,173,12,0,1.23,80,11.0,B,14.76
Field of Seams,Trey Yesavage,3.73,148,8,0,1.21,161,10.0,B,3.5
Field of Seams,Nick Pivetta,3.42,170,16,0,1.1,105,5.0,C,15.54
Field of Seams,Cole Ragans,3.35,191,13,0,1.16,49,25.0,X,25.43
Ron Washington Monument,Emilio Pagan,3.05,73,0,35,0.98,135,10.0,B,7.3
Ron Washington Monument,Michael Wacha,3.14,131,14,0,1.15,320,2.0,B,-10.13
Ron Washington Monument,Matthew Liberatore,3.85,118,11,0,1.26,515,10.0,B,-10.53
Chicks Dig the Long Ball,Andrew Abbott,3.33,140,11,0,1.22,198,15.0,B,-0.58
Chicks Dig the Long Ball,Trevor Rogers,2.73,140,14,0,1.12,121,10.0,B,-1.15
Chicks Dig the Long Ball,Noah Cameron,3.06,137,12,0,1.14,245,10.0,B,-7.35
Chicks Dig the Long Ball,Shane Bieber,3.6,113,9,0,1.15,419,6.0,B,5.95
The Ale n' Quail Club,Jose Soriano,3.87,128,14,0,1.32,510,1.0,B,1.0
The Ale n' Quail Club,Nathan Eovaldi,2.85,155,18,0,1.06,141,8.0,B,20.34
The Ale n' Quail Club,Brayan Bello,3.69,121,14,0,1.26,437,2.0,B,-10.07
The Ale n' Quail Club,MacKenzie Gore,3.1,158,12,0,1.17,174,3.0,C,5.53
The Ale n' Quail Club,Cade Smith,2.48,81,0,33,0.95,78,7.0,B,23.76
The Ale n' Quail Club,Kevin Gausman,3.65,171,17,0,1.14,104,17.0,B,11.52
Sandlot Cry Babies,Casey Mize,3.17,136,9,0,1.12,224,7.0,Y,-2.09
Sandlot Cry Babies,Bailey Ober,4.28,153,13,0,1.2,426,15.0,Z,-1.89
Sandlot Cry Babies,Mitch Keller,3.83,148,17,0,1.24,417,4.0,B,-7.06
Sandlot Cry Babies,Jeff Hoffman,3.6,78,0,38,1.12,130,14.0,B,11.75
Sandlot Cry Babies,Jared Jones,3.75,35,5,1,1.06,760,5.0,C,0.28
Wheels Up,Jacob Misiorowski,3.49,170,8,0,1.16,134,5.0,B,0.35
Wheels Up,Max Fried,3.33,176,20,0,1.24,47,25.0,B,26.76
Wheels Up,Yoshinobu Yamamoto,3.04,169,17,0,1.1,35,30.0,C,31.69
Wheels Up,Ranger Suarez,3.66,149,16,0,1.28,146,2.0,C,10.03
Wheels Up,Jesus Luzardo,3.58,166,16,0,1.2,75,8.0,B,22.0
Hot Balls,Matthew Boyd,2.92,164,16,0,1.01,181,1.0,Standard,9.03
Kirb Your Enthusiasm,Garrett Crochet,3.28,196,18,0,1.16,12,20.0,X,48.2
Kirb Your Enthusiasm,Taj Bradley,3.94,139,13,0,1.25,461,1.0,C,-8.68
Arm & Cammer,Nolan McLean,3.39,169,13,0,1.27,112,10.0,B,7.78
Arm & Cammer,Cameron Schlittler,2.98,161,13,0,1.2,113,10.0,B,1.61858769302854
Arm & Cammer,Paul Skenes,2.41,206,21,0,0.97,13,20.0,W,57.94
Arm & Cammer,Freddy Peralta,3.87,180,12,0,1.27,77,17.0,B,15.06
Free Agent,Zane Mills,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Michel Otanez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Alex Vesia,2.72,74,0,29,1.08,593,0.0,FA,9.66
Free Agent,Angel Macuare,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Holton,3.3,50,0,17,0.97,644,0.0,FA,6.31
Free Agent,Harold Chirino,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Lucas Gilbreath,0.0,0,0,0,0.0,9999,0.0,FA,-14.4500620590088
Free Agent,Brody Hopkins,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Logan Gragg,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Sean Sullivan,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jake Elliott,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Marcus Mack,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Houston Harding,0.0,0,0,0,0.0,9999,0.0,FA,0.0
