Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mQS,mSVHLD,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
Tarik Skubal ,DET,SP,6.909999847,188.109,19.54166741,20.52189481,10.20390596,8.951829338,-4.486521931,54.73277559,10.53333333,66.26610892,Tarik Skubal,22267,669373
Paul Skenes ,PIT,SP,9.659999847,185.012,18.39506193,14.26542104,9.673658979,8.554565973,-4.486521931,46.40218599,10.53333333,57.93551932,Paul Skenes,33677,694973
Garrett Crochet ,BOS,SP,12.10000038,183.03,12.17940054,10.99398135,9.931305687,8.051973565,-4.486521931,36.67013921,10.53333333,48.20347255,Garrett Crochet,27463,676979
Bryan Woo ,SEA,SP,34.90000153,183.483,4.735494001,13.97840286,6.635813783,7.088007268,-4.486521931,27.95119599,10.53333333,39.48452932,Bryan Woo,30279,693433
Chris Sale ,ATL,SP,39.20999908,156.965,8.09517379,7.46837383,7.276542437,6.092847421,-4.486521931,24.44641555,10.53333333,35.97974888,Chris Sale,10603,519242
Logan Gilbert ,SEA,SP,37.11000061,167.796,3.96743274,11.86211255,6.85077829,5.847266312,-4.486521931,24.04106796,10.53333333,35.5744013,Logan Gilbert,22250,669302
Cristopher Sánchez ,PHI,SP,25.17000008,187.877,9.514224208,3.12170132,6.412742386,7.926072813,-4.486521931,22.4882188,10.53333333,34.02155213,Cristopher Sanchez,20778,650911
Jacob deGrom ,TEX,SP,49.97000122,157.865,3.564565441,10.34861054,6.00010551,4.842248172,-4.486521931,20.26900774,10.53333333,31.80234107,Jacob deGrom,10954,594798
Yoshinobu Yamamoto ,LAD,SP,26.63999939,161.159,7.111751603,5.772287924,5.781969967,5.976610615,-4.486521931,20.15609818,10.53333333,31.68943151,Yoshinobu Yamamoto,33825,808967
Mason Miller ,SDP,RP,28.07999992,64.3725,8.387139072,6.572786466,-0.629309184,-3.50567792,7.252653709,18.07759214,10.53333333,29.61092548,Mason Miller,31757,695243
Logan Webb ,SFG,SP,57.72999954,195.373,7.743599232,-0.894196585,6.774570959,8.265867681,-4.427461988,17.4623793,10.53333333,28.99571263,Logan Webb,17995,657277
Zack Wheeler ,PHI,SP,111.9700012,129.846,4.995469576,6.404007523,3.671261024,4.943275907,-4.486521931,15.5274921,10.53333333,27.06082543,Zack Wheeler,10310,554430
Max Fried ,NYY,SP,50.09000015,180.199,6.423023053,0.401274722,5.442930336,7.446540403,-4.486521931,15.22724658,10.53333333,26.76057992,Max Fried,13743,608331
Cole Ragans ,KCR,SP,47.77999878,155.757,3.647571593,1.918951309,7.314758805,5.498194213,-4.486521931,13.89295399,10.53333333,25.42628732,Cole Ragans,21846,666142
Hunter Brown ,HOU,SP,36.40000153,178.999,2.967666989,-0.082226323,7.365892407,7.380473241,-4.486521931,13.14528438,10.53333333,24.67861772,Hunter Brown,25880,686613
George Kirby ,SEA,SP,64.55999756,165.969,0.373217425,6.490781733,4.720957321,5.837656387,-4.486521931,12.93609093,10.53333333,24.46942427,George Kirby,25436,669923
Cade Smith ,CLE,RP,39.65999985,68.3668,5.407246825,4.876375052,-1.497824167,-3.54164989,6.980490701,12.22463852,10.53333333,23.75797185,Cade Smith,27867,671922
Joe Ryan ,MIN,SP,78.80999756,168.145,-3.471842196,6.999623025,6.630592331,5.712038261,-4.486521931,11.38388949,10.53333333,22.91722282,Joe Ryan,21390,657746
Edwin Díaz ,LAD,RP,32.95000076,64.904,4.291944469,4.146683822,-1.478298472,-3.54164989,7.951488442,11.37016837,10.53333333,22.9035017,Edwin Diaz,14710,621242
Jesús Luzardo ,PHI,SP,71.11000061,176.054,-0.097074357,1.204156806,7.36912876,6.475792412,-4.486521931,10.46548169,10.53333333,21.99881502,Jesus Luzardo,19959,666200
Nathan Eovaldi ,TEX,SP,133.5399933,153.48,-0.424272242,4.613020372,3.587015961,5.456921013,-4.429912849,8.802772255,10.53333333,20.33610559,Nathan Eovaldi,9132,543135
Jhoan Duran ,PHI,RP,41.56999969,65.6461,5.546168404,2.262263101,-2.561472513,-3.54164989,7.09023839,8.795547493,10.53333333,20.32888083,Jhoan Duran,21029,661395
Andrés Muñoz ,SEA,RP,41.31000137,62.2277,5.103681829,1.892465593,-2.471970778,-3.54164989,7.472726508,8.455253261,10.53333333,19.98858659,Andres Munoz,20373,662253
Shohei Ohtani ,LAD,SP,1.25999999,113.27,3.436295576,4.209331841,2.371212938,2.024968993,-4.486521931,7.555287417,10.53333333,19.08862075,Shohei Ohtani,19755,660271
Griffin Jax ,TBR,RP,149.9299927,63.1288,3.845816945,3.694723251,-2.187269725,-3.54164989,5.507153167,7.318773748,10.53333333,18.85210708,Griffin Jax,20253,643377
Framber Valdez ,DET,SP,81.84999847,185.144,3.114288822,-4.812925362,5.595275838,7.369314476,-4.486521931,6.779431843,10.53333333,18.31276518,Framber Valdez,17295,664285
Bryan Abreu ,HOU,RP,183.0899963,67.3706,3.848809706,0.58861304,-1.338945125,-3.54164989,6.217522897,5.774350627,10.53333333,17.30768396,Bryan Abreu,16609,650556
Devin Williams ,NYM,RP,59.61999893,62.8987,3.247694989,1.260075763,-2.072319015,-3.54164989,6.871834132,5.765635979,10.53333333,17.29896931,Devin Williams,15816,642207
Brandon Woodruff ,MIL,SP,143.6199951,141.709,-1.634688046,4.090672313,3.700479127,3.853008307,-4.486521931,5.52294977,10.53333333,17.0562831,Brandon Woodruff,16162,605540
Aroldis Chapman ,BOS,RP,63.97000122,55.665,3.611779351,1.295928637,-2.502890304,-3.54164989,5.75833095,4.621498743,10.53333333,16.15483208,Aroldis Chapman,10233,547973
Drew Rasmussen ,TBR,SP,133.2100067,152.689,0.312616688,2.194193151,2.812875812,3.474035883,-4.469261206,4.324460328,10.53333333,15.85779366,Drew Rasmussen,25385,656876
David Bednar ,NYY,RP,63.72000122,61.5345,2.020796198,1.838438683,-2.756071179,-3.54164989,6.752930721,4.314444533,10.53333333,15.84777787,David Bednar,19569,670280
Nick Pivetta ,SDP,SP,96.02999878,166.514,-5.321220076,1.88937493,6.313089109,5.60979438,-4.486521931,4.004516411,10.53333333,15.53784974,Nick Pivetta,15454,601713
Dylan Cease ,TOR,SP,74.26999664,168.955,-1.20257532,-3.579960559,7.865039921,5.127846148,-4.486521931,3.723828258,10.53333333,15.25716159,Dylan Cease,18525,656302
Freddy Peralta ,NYM,SP,56.34000015,164.772,-2.342056333,-1.156660983,6.501887443,5.012461831,-4.486521931,3.529110026,10.53333333,15.06244336,Freddy Peralta,18679,642547
Blake Snell ,LAD,SP,173.2400055,122.06,2.654321284,-1.942568713,3.681747472,3.527995607,-4.486521931,3.434973719,10.53333333,14.96830705,Blake Snell,13543,605483
Chase Burns ,CIN,SP,107.8799973,124.704,0.633949507,0.90834432,3.449916022,2.796882391,-4.354689191,3.434403049,10.53333333,14.96773638,Chase Burns,35333,695505
Kyle Bradish ,BAL,SP,72.91000366,140.218,0.378549232,-0.249068961,3.800405195,3.778943306,-4.486521931,3.22230684,10.53333333,14.75564017,Kyle Bradish,24586,680694
Sonny Gray ,BOS,SP,137.8200073,167.845,-3.263836478,-0.74865773,5.976954127,5.691269571,-4.486521931,3.169207558,10.53333333,14.70254089,Sonny Gray,12768,543243
Abner Uribe ,MIL,RP,166.9900055,66.3462,3.432665055,-1.110934339,-2.416574335,-3.54164989,6.461990082,2.825496573,10.53333333,14.35882991,Abner Uribe,25327,682842
Tyler Glasnow ,LAD,SP,115.3600006,129.272,-0.731798235,0.24478578,3.783964729,3.872570074,-4.486521931,2.683000416,10.53333333,14.21633375,Tyler Glasnow,14374,607192
Josh Hader ,HOU,RP,123.9300003,48.271,2.123196978,2.924257239,-3.451093586,-3.54164989,3.585624124,1.640334864,10.53333333,13.1736682,Josh Hader,14212,623352
Shota Imanaga ,CHC,SP,159.8099976,154.412,-6.108039014,4.131361191,2.963475707,4.741159169,-4.486521931,1.241435122,10.53333333,12.77476846,Shota Imanaga,33829,684007
Garrett Cleavinger ,TBR,RP,504.3299866,61.7869,1.890625429,1.597980768,-2.599462195,-3.54164989,3.836844531,1.184338643,10.53333333,12.71767198,Garrett Cleavinger,17897,664076
Jeremiah Estrada ,SDP,RP,620.1300049,66.1381,1.869486917,0.754177517,-1.610698847,-3.54164989,3.711890471,1.183206167,10.53333333,12.7165395,Jeremiah Estrada,22210,669093
Gabe Speier ,SEA,RP,748.2399902,58.0072,1.872084635,3.188741824,-3.144959861,-3.54164989,2.414008276,0.788224984,10.53333333,12.32155832,Gabe Speier,17170,642100
Garrett Whitlock ,BOS,RP,627.6599731,63.9766,2.081636759,1.359238538,-2.95898357,-3.54164989,3.556735647,0.496977483,10.53333333,12.03031082,Garrett Whitlock,20191,676477
Jeff Hoffman ,TOR,RP,100.3799973,60.8579,0.48928803,0.790181694,-2.828967876,-3.54164989,5.309643208,0.218495166,10.53333333,11.7518285,Jeff Hoffman,17432,656546
Trevor Megill ,MIL,RP,139.9900055,62.2284,1.317567301,0.475606293,-2.656002952,-3.54164989,4.464760361,0.060281113,10.53333333,11.59361445,Trevor Megill,17722,656730
Raisel Iglesias ,ATL,RP,100.7900009,62.3021,0.023278686,1.295430369,-3.378301907,-3.54164989,5.598288558,-0.002954185,10.53333333,11.53037915,Raisel Iglesias,17130,628452
Kevin Gausman ,TOR,SP,113.3000031,178.417,-5.569690935,-1.758898796,5.765459061,5.981054884,-4.428713778,-0.010789563,10.53333333,11.52254377,Kevin Gausman,14107,592332
